Country,Place,Start date
China,Xiangyang,2020/1/28
China,Huangshi,2020/1/24
China,Jingzhou,2020/1/24
China,Ezhou,2020/1/23
China,Xianning,2020/1/24
China,Jingmen,2020/1/24
China,Enshi,2020/1/24
China,Xiantao,2020/1/24
China,Huanggang,2020/1/23
China,Xiaogan,2020/1/24
China,Tianmen,2020/1/24
China,Suizhou,2020/1/24
China,Shiyan,2020/1/24
China,Yichang,2020/1/24
China,Shennongjia,2020/1/27
China,Wuhan,2020/1/23
China,Qianjiang,2020/1/24
China,Wenzhou,2020/2/2
China,Wenling,2020/2/2
China,Fangchenggang,2020/2/2
China,Guigang,2020/2/2
China,Yuzhou,2020/2/2
China,Zhouzhi,2020/2/2
China,Huyi,2020/2/2
China,Bengbu,2020/2/3
China,Huaibei,2020/2/3
China,Bincheng,2020/2/3
China,Taizhou,2020/2/3
China,Hangzhou,2020/2/4
China,Fuzhou,2020/2/4
China,Xuzhou,2020/2/4
China,Jingdezhen,2020/2/4
China,Harbin,2020/2/4
China,Yicheng,2020/2/4
China,Xincheng,2020/2/4
China,Chang'an,2020/2/4
China,Yanta,2020/2/5
China,Lianhu,2020/2/5
China,Ningbo,2020/2/5
China,Hailing,2020/2/5
China,Hefei,2020/2/5
China,Fuyang,2020/2/5
China,Benxi,2020/2/5
China,Ngawa,2020/2/5
China,Garze,2020/2/5
China,Liuzhou,2020/2/5
China,Guilin,2020/2/5
China,Jinchengjiang,2020/2/5
China,Jiangxi,2020/2/6
China,Xianyang,2020/2/6
China,Jinzhou,2020/2/6
China,Kuancheng,2020/2/6
China,tangshan,2020/2/7
China,Baodi,2020/2/9
